October 2006 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,62.8,29,-1.8,64.6
AL-003,Baldwin County,Alabama,67.4,49,-0.6,68
AL-005,Barbour County,Alabama,63.5,22,-2.1,65.6
AL-007,Bibb County,Alabama,61.5,26,-2.1,63.6
AL-009,Blount County,Alabama,59.3,27,-2.2,61.5
AL-011,Bullock County,Alabama,62.7,22,-2.3,65
AL-013,Butler County,Alabama,63,25,-2.3,65.3
AL-015,Calhoun County,Alabama,59.4,26,-2.2,61.6
AL-017,Chambers County,Alabama,60.2,25,-2.2,62.4
AL-019,Cherokee County,Alabama,58.5,14,-2.9,61.4
AL-021,Chilton County,Alabama,61.5,29,-1.9,63.4
AL-023,Choctaw County,Alabama,64.2,50,-0.7,64.9
AL-025,Clarke County,Alabama,64.9,51,-0.6,65.5
AL-027,Clay County,Alabama,59.2,26,-2.2,61.4
AL-029,Cleburne County,Alabama,58.2,23,-2.4,60.6
AL-031,Coffee County,Alabama,64.2,27,-2.1,66.3
AL-033,Colbert County,Alabama,57.8,13,-2.9,60.7
AL-035,Conecuh County,Alabama,64.3,31,-1.8,66.1
AL-037,Coosa County,Alabama,60.8,27,-2.3,63.1
AL-039,Covington County,Alabama,64.3,24,-2.1,66.4
AL-041,Crenshaw County,Alabama,62.8,22,-2.5,65.3
AL-043,Cullman County,Alabama,58.6,22,-2.6,61.2
AL-045,Dale County,Alabama,64.5,26,-2,66.5
AL-047,Dallas County,Alabama,63.3,29,-1.7,65
AL-049,DeKalb County,Alabama,57.4,17,-2.9,60.3
AL-051,Elmore County,Alabama,62.5,25,-2.1,64.6
AL-053,Escambia County,Alabama,65.4,36,-1.3,66.7
AL-055,Etowah County,Alabama,59.1,21,-2.6,61.7
AL-057,Fayette County,Alabama,60.2,20,-2.5,62.7
AL-059,Franklin County,Alabama,57.6,13,-3.2,60.8
AL-061,Geneva County,Alabama,65.3,30,-1.6,66.9
AL-063,Greene County,Alabama,62.5,26,-2.2,64.7
AL-065,Hale County,Alabama,62.6,24,-2,64.6
AL-067,Henry County,Alabama,64.4,25,-2.1,66.5
AL-069,Houston County,Alabama,65.7,29,-1.7,67.4
AL-071,Jackson County,Alabama,57.8,17,-2.7,60.5
AL-073,Jefferson County,Alabama,61,36,-1.5,62.5
AL-075,Lamar County,Alabama,60,19,-2.8,62.8
AL-077,Lauderdale County,Alabama,57.4,14,-2.9,60.3
AL-079,Lawrence County,Alabama,57.9,14,-3,60.9
AL-081,Lee County,Alabama,61.7,22,-2.4,64.1
AL-083,Limestone County,Alabama,58,18,-2.8,60.8
AL-085,Lowndes County,Alabama,63.3,28,-2,65.3
AL-087,Macon County,Alabama,62.6,21,-2.4,65
AL-089,Madison County,Alabama,58.1,17,-2.8,60.9
AL-091,Marengo County,Alabama,64,46,-1,65
AL-093,Marion County,Alabama,58.3,14,-3.3,61.6
AL-095,Marshall County,Alabama,58.6,17,-2.8,61.4
AL-097,Mobile County,Alabama,67.1,50,-0.4,67.5
AL-099,Monroe County,Alabama,64.5,38,-1.3,65.8
AL-101,Montgomery County,Alabama,63.4,30,-1.8,65.2
AL-103,Morgan County,Alabama,58.3,18,-2.9,61.2
AL-105,Perry County,Alabama,62.5,27,-1.9,64.4
AL-107,Pickens County,Alabama,61.2,20,-2.7,63.9
AL-109,Pike County,Alabama,63.3,25,-2.2,65.5
AL-111,Randolph County,Alabama,59.3,32,-1.9,61.2
AL-113,Russell County,Alabama,63.2,27,-2,65.2
AL-115,St. Clair County,Alabama,59.9,33,-1.9,61.8
AL-117,Shelby County,Alabama,61.1,34,-1.6,62.7
AL-119,Sumter County,Alabama,63.1,39,-1.5,64.6
AL-121,Talladega County,Alabama,60.3,30,-2,62.3
AL-123,Tallapoosa County,Alabama,60.5,21,-2.5,63
AL-125,Tuscaloosa County,Alabama,61.4,21,-2.5,63.9
AL-127,Walker County,Alabama,60.1,28,-2.3,62.4
AL-129,Washington County,Alabama,65.4,54,-0.5,65.9
AL-131,Wilcox County,Alabama,64.1,38,-1.3,65.4
AL-133,Winston County,Alabama,58.1,16,-3,61.1
AZ-001,Apache County,Arizona,49.9,26,-1.4,51.3
AZ-003,Cochise County,Arizona,61.2,42,-0.7,61.9
AZ-005,Coconino County,Arizona,51.6,33,-1.5,53.1
AZ-007,Gila County,Arizona,59.8,45,-0.7,60.5
AZ-009,Graham County,Arizona,61.2,42,-0.8,62
AZ-011,Greenlee County,Arizona,56.2,36,-1.3,57.5
AZ-012,La Paz County,Arizona,71.4,55,-0.3,71.7
AZ-013,Maricopa County,Arizona,71.3,71,0.4,70.9
AZ-015,Mohave County,Arizona,61.7,37,-1.3,63
AZ-017,Navajo County,Arizona,51.2,29,-1.4,52.6
AZ-019,Pima County,Arizona,68.6,61,0.1,68.5
AZ-021,Pinal County,Arizona,69.8,64,0.3,69.5
AZ-023,Santa Cruz County,Arizona,61.2,46,-0.8,62
AZ-025,Yavapai County,Arizona,59.2,47,-0.7,59.9
AZ-027,Yuma County,Arizona,72.7,59,-0,72.7
AR-001,Arkansas County,Arkansas,62.6,49,-0.7,63.3
AR-003,Ashley County,Arkansas,63.6,55,-0.4,64
AR-005,Baxter County,Arkansas,56.5,26,-2.3,58.8
AR-007,Benton County,Arkansas,57.8,39,-1.4,59.2
AR-009,Boone County,Arkansas,56.2,23,-2.6,58.8
AR-011,Bradley County,Arkansas,62.5,43,-1.1,63.6
AR-013,Calhoun County,Arkansas,62.3,40,-1.3,63.6
AR-015,Carroll County,Arkansas,56.8,29,-2.1,58.9
AR-017,Chicot County,Arkansas,64.1,61,-0.2,64.3
