Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,US,USA,Carbon stocks in forests,Million tonnes,,,,,14499.0523,14624.3687,14749.6851,14875.0015,15000.3179,15125.6343,15250.9507,15376.2671,15501.5835,15622.2178,15742.8521,15863.4864,15984.1207,16104.755,16225.3892,16346.0235,16466.6578,16587.2921,16707.9264,16833.2032,16958.48,17083.7569,17209.0337,17334.3105,17476.9542,17587.0622,17704.7843,17704.7843,17704.7843
United States,US,USA,Forest area,1000 HA,,,,,302667.2,302775.8,302884.4,302993.0,303101.6,303210.2,303318.8,303427.4,303536.0,304054.4,304572.8,305091.2,305609.6,306128.0,306646.4,307164.8,307683.2,308201.6,308720.0,308995.0,309270.0,309545.0,309820.0,310095.0,310095.0,309795.0,309795.0,309795.0,309795.0
United States,US,USA,Index of carbon stocks in forests,Index,,,,,100.0,100.86430752443,101.728615048861,102.592922573291,103.457230097722,104.321537622152,105.185845146582,106.050152671013,106.914460195443,107.746475264456,108.578490333468,109.410505402481,110.242520471493,111.074535540506,111.906549919818,112.73856498883,113.570580057843,114.402595126855,115.234610195868,116.098644598999,116.96267900213,117.826714094962,118.690748498093,119.554782901225,120.53859685712,121.298012008688,122.109941627012,122.109941627012,122.109941627012
United States,US,USA,Index of forest extent,Index,,,,,100.0,100.035880994042,100.071761988085,100.107642982127,100.143523976169,100.179404970212,100.215285964254,100.251166958296,100.287047952338,100.458325183568,100.629602414798,100.800879646027,100.972156877257,101.143434108486,101.314711339716,101.485988570945,101.657265802175,101.828543033404,101.999820264634,102.090679135367,102.1815380061,102.272396876834,102.363255747567,102.4541146183,102.4541146183,102.354995850228,102.354995850228,102.354995850228,102.354995850228
United States,US,USA,Land area,1000 HA,,,,,915896.0,915896.0,915896.0,915896.0,915896.0,915896.0,915896.0,915896.0,916192.0,916192.0,916192.0,916192.0,916192.0,916192.0,916192.0,916192.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0,914742.0
United States,US,USA,Share of forest area,Percent,,,,,33.0460226925328,33.0578799339663,33.0697371753998,33.0815944168334,33.0934516582669,33.1053088997004,33.1171661411339,33.1290233825675,33.1301735880689,33.1867556145437,33.2433376410185,33.2999196674933,33.3565016939681,33.4130837204429,33.4696657469177,33.5262477733925,33.6360635020585,33.6927352193296,33.7494069366007,33.7794700582241,33.8095331798474,33.8395963014708,33.8696594230942,33.8997225447175,33.8997225447175,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375
