Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,,,,,14.15537429,14.30151435,14.4213131,14.52410674,14.57208753,14.58300215,14.58670669
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,,,,,14.15537429,14.30088952,14.41434749,14.53912365,14.65226428,14.75161091,14.84691556
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,,,,,14.15537429,14.30088952,14.41434749,14.53727136,14.61537135,14.64156307,14.61497359
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,,,,,14.15537429,14.30088952,14.41434749,14.5360934,14.63455562,14.7100955,14.76401133
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,,,,,14.15537429,14.30678976,14.41405633,14.46643033,14.42585868,14.36548445,14.29801619
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,14.15537429,14.2992196,14.41199661,14.52273626,14.59928308,14.65825659,14.69332885
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,,,,,14.15537429,14.30167515,14.415704,14.47992806,14.46884606,14.43079108,14.39813834
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Below 2°C,,,,,14.44586,14.73436,15.03211,15.30117,15.49515,15.65093,15.80568
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Current Policies,,,,,14.40999,14.65907,14.89479,15.13091,15.39304,15.63268,15.90243
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Delayed transition,,,,,14.44506,14.71589,14.97773,15.30218,15.5417,15.72872,15.8861
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Fragmented World,,,,,14.41023,14.65891,14.89503,15.14376,15.39845,15.60067,15.8185
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Low Demand,,,,,14.44482,14.70959,14.9868,15.24368,15.4249,15.55799,15.5987
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),,,,,14.4105,14.66557,14.90782,15.15335,15.40779,15.61696,15.85599
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Net Zero 2050,,,,,14.44613,14.74153,15.04952,15.30443,15.46791,15.57615,15.58271
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,,,,,14.42343,14.73057,15.04795,15.30979,15.4896,15.63151,15.78893
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,,,,,14.38958,14.66564,14.88082,15.12478,15.39723,15.61484,15.86437
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,,,,,14.42322,14.72249,14.96288,15.304,15.55007,15.70774,15.86767
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,,,,,14.38968,14.6651,14.88163,15.17109,15.44235,15.62803,15.81414
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,,,,,14.42346,14.73308,15.10443,15.34369,15.46604,15.53738,15.59583
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,14.38988,14.66986,14.89025,15.12965,15.38843,15.57193,15.77849
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,14.42346,14.7321,15.06906,15.2871,15.38104,15.44755,15.50929
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,,,,,14.38384878,14.71844895,14.95769007,15.22442467,15.41095024,15.54247366,15.66818838
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,,,,,14.38384878,14.65711609,14.85436458,15.11246683,15.3670468,15.59975233,15.87128766
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,,,,,14.38384878,14.65711609,14.85436458,15.22069673,15.46057216,15.60925411,15.72641172
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,,,,,14.38384878,14.65711609,14.85436458,15.10864603,15.36502707,15.57088199,15.77804429
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,,,,,14.38384878,14.71479528,14.96880756,15.16414867,15.25635438,15.26639194,15.24123508
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,14.38384878,14.65424159,14.85833533,15.10757559,15.34509587,15.5044212,15.68508153
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,,,,,14.38384878,14.72249343,14.96639288,15.19363559,15.2896675,15.32541922,15.37665093
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Below 2°C,,,,,4.4466,4.548,265.9401,549.8825,790.4015,990.8093,1146.6024
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Current Policies,,,,,4.4559,4.5602,23.1908,76.679,85.6563,99.3093,132.3072
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Delayed transition,,,,,4.4576,4.5622,23.1991,334.4981,829.6886,1172.5764,1434.7835
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Fragmented World,,,,,4.4533,4.5569,23.1731,234.5054,588.8426,1006.9314,1390.0705
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Low Demand,,,,,4.4408,4.3218,74.5604,420.0648,722.7998,889.0157,1409.5663
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Nationally Determined Contributions (NDCs),,,,,4.4544,4.5446,409.9014,500.0697,571.8713,649.2231,771.2977
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Net Zero 2050,,,,,4.4435,4.6073,455.5144,776.6102,982.3082,1011.2428,1352.8958
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Below 2°C,,,,,0.0,0.0,3.8994,10.5891,14.8116,33.1546,54.1206
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Delayed transition,,,,,0.0,0.0,0.0,3.8693,3.808,14.4574,22.3322
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Fragmented World,,,,,0.0,0.0,0.0,3.8077,10.1992,20.858,39.9103
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Low Demand,,,,,0.0,0.0,3.8665,10.2289,21.2783,40.6762,72.2966
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,0.0,0.0,0.0,3.8948,9.5754,17.6205,19.4641
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,0.0,0.0,3.8665,10.1377,15.4607,26.0828,42.3391
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Below 2°C,,,,,2.2551,28.0988,90.3667,174.3459,269.6474,349.0624,395.7317
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Current Policies,,,,,2.2551,21.0603,41.4732,42.3444,42.0721,41.3639,39.2259
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Delayed transition,,,,,2.2551,21.0603,41.4732,56.144,234.218,557.1358,705.7153
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Fragmented World,,,,,2.2551,21.0603,41.4732,49.3613,87.8406,106.7281,105.0791
