RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
102001,0,United States,country,,1226.8047864839593,1233.4298144585348,1242.343254183041,1252.1053206049778,1261.7949618985865,1270.2195889711074,1276.3270268467616,1280.0071903144908,1281.719312425509,1282.209472749501,1282.4969121818333,1283.033091059415,1286.2217439301185,1291.3789312535332,1297.8955460413474,1307.776963433696,1317.382138905776,1326.6268476774658,1329.761276774372,1331.0843870159638,1330.2989517818405,1327.416981839317,1324.8953693243484,1322.512374118162,1328.8654730047397,1337.0787218753183,1349.4758779380088,1358.0783306328622,1367.2870764896813,1374.460312231244,1379.3323736806158,1381.0300340217489,1381.421730287844,1380.1182900220083,1380.150213839148,1381.181496255223,1386.178311649346,1393.814909554725,1403.7629651376103,1413.7505267582112,1422.3093034156332,1429.9531014089036,1435.3549856293605,1438.626314296437,1438.3054910188641,1437.6435595105495,1438.2230174971514,1440.4154652448035,1445.0611103043223,1451.6973523621978,1461.8903177909572,1472.0833241716814,1481.891777052063,1490.1829485549538,1496.2435190089957,1499.6678769975138,1499.9200882347452,1498.8044194726401,1497.8474178845236,1498.9883618188558,1504.289987679454,1512.7387450933475,1520.9766746068788,1521.1469454443998,1519.6348250893052,1519.483579148585,1524.3695627908594,1525.8981987495642,1523.9515739520118,1522.1698426923047,1523.071738020449,1525.37572269279,1531.0592097150907,1539.811144743149,1555.053808280401,1576.0474542002,1603.380775606294,1634.4003712469532,1666.5925907770438,1696.6519146979542,1721.241300145256,1737.2106942638416,1748.2168983891213,1758.5224242087031,1770.3303269179737,1786.4809452217685,1803.446003577065,1824.763528294203,1846.9695775561343,1869.828537102975,1888.8752234175288,1900.1620286218188,1903.8103864546597,1900.7111042437257,1894.7380186446273,1891.4762415571895,1892.9138746046337,1899.708094031991,1910.4405101323591,1922.8153528209823,1936.2024436691408,1946.8176045729708,1956.8138429032063,1962.9499971473801,1965.6243711266573,1963.3753383245148,1958.455587874267,1954.940491280669,1957.590262433295
394913,1,"New York, NY",msa,NY,2270.4237615675374,2285.734398029784,2302.8281534677517,2324.396269148535,2339.8493197634098,2357.535457007904,2368.8635047302014,2378.689461685148,2381.775075223241,2378.6403486309728,2370.052913131998,2360.270329119396,2357.620528250871,2361.0403225869727,2369.1437836979508,2382.9078163555882,2399.6957985203667,2417.223977037339,2428.5070284703284,2432.6194685699784,2431.2895993024736,2423.569322971338,2414.9554441215487,2399.014296203856,2397.0539746122304,2397.683934763665,2412.3092250085083,2424.0849385708066,2442.4173581798004,2457.6712207668456,2468.248486474922,2470.1650249648183,2468.698289460268,2455.49180111442,2440.7526600183533,2426.4423219997097,2423.877434181004,2430.8706217603135,2443.7357089130496,2463.8827590484107,2481.98614101267,2499.838198172511,2511.960760686579,2520.8791581957853,2521.2037765716177,2511.9394103869013,2500.4654482422598,2490.1942407542956,2489.9622329977014,2498.8435402995115,2513.3852106174513,2530.5786114922344,2550.979513506427,2573.0523724075556,2588.198568653529,2595.2450136257844,2592.960094354228,2588.241430418286,2575.9787706245106,2568.4703237110043,2568.0034363528553,2581.3671078392986,2591.093446099799,2584.615938087384,2567.7098441859844,2544.628052153448,2519.991246636624,,,2378.294637858243,2348.684111635384,2334.8176300824703,2330.804782190121,2340.6162923703782,2363.448831492374,2393.789901169573,2438.6304407528955,2493.46551620181,2555.8550548068356,2616.499934423916,2666.3018153104185,2698.6220047934626,2720.2840552577013,2738.526695772231,2762.8896215257464,2797.0992572972923,2836.186022928621,2879.443822402396,2931.569644017919,2988.109642394506,3037.8450819925297,3065.695830287671,3067.8204431141635,3049.668841513002,3018.1402400959055,2996.7886395276414,2991.285227978565,3004.385273105679,3028.314692595123,3063.2558263608057,3102.154051739364,3137.4634752825837,3161.0171587058508,3169.5956215168617,3168.278552079765,3152.138181537511,3129.8228679202743,3111.53486523627,3115.272794206699
753899,2,"Los Angeles, CA",msa,CA,1829.2303999126832,1841.4331771216816,1856.5446747232415,1870.3086570851638,1884.657296262357,1896.1544144408833,1909.7772082072527,1920.0116219732247,1929.5831486408672,1934.9696785805522,1940.1606784401301,1946.7336802767702,1956.6189461498068,1968.5828841761934,1979.9324609140995,1991.1911607283214,2004.7010431381234,2017.3777885581821,2026.859475489977,2031.743235042696,2036.5353427000082,2035.5915356845003,2035.5965914244066,2034.3433743622693,2053.4510852490357,2072.5646730201065,2098.436331219542,2111.275736193788,2124.8927428522397,2134.270710624514,2143.257772344834,2149.2693029345746,2154.1337956667894,2155.6107608665743,2159.764732756085,2164.299964257326,2174.6515385642138,2186.2709195051175,2197.74589586894,2208.6005405162805,2217.5142701567397,2229.163322976029,2238.90985071183,2247.7801494285877,2252.5736573227405,2257.0684314260143,2262.955439701086,2268.083967831474,2273.684085097231,2277.9412587989887,2289.5391381927975,2299.8741692092512,2311.8312059979553,2321.025500248157,2329.472204880084,2336.076575059814,2339.9682654353237,2341.6395014533064,2344.4166436208134,2347.8397472225674,2356.6787575583708,2361.387115840015,2361.9905615690263,2348.7607570713,2336.7142253875586,2328.8172764792903,2329.9838648967534,2330.8682718746,2331.895665014804,2334.1980262199963,2338.61418851424,2339.366565775213,2342.5082599095904,2348.1028018607853,2361.016594949338,2375.8079325181448,2397.5552421889925,2433.23002600379,2480.5175100646907,2534.1768239300786,2575.158462197892,2604.3666738650377,2620.6109092245597,2640.2724000841035,2659.5495310458728,2684.917847072714,2709.906882586421,2739.158002162376,2768.098233587383,2792.60423388717,2814.2440444023227,2829.6346368973223,2836.455516590236,2832.2363446115696,2822.9705521976434,2816.220970368696,2813.2905551596336,2821.2358757031484,2832.5965994077005,2848.4507501481344,2857.41802219682,2868.018546416405,2881.2689204462495,2893.286490718251,2897.350077733381,2893.951955061628,2880.861685671868,2871.103860259936,2874.94471209629
394463,3,"Chicago, IL",msa,IL,1394.0759475109985,1401.4564523112133,1411.9560065258247,1421.444960383464,1432.4661133681532,1440.8721664499237,1445.8952249939168,1447.8294781894235,1442.8904050668066,1436.0538704367145,1430.2002196017147,1430.3137878470882,1438.2823533802903,1446.8341197963396,1458.6485869465669,1466.7181695060115,1477.0364202167668,1486.3246409197568,1493.0246416191728,1496.6331226615764,1489.6738063051291,1476.87512623217,1460.1845474568431,1450.0139958300954,1458.7334953790814,1475.3428696141266,1496.7189330046297,1507.8576755714737,1519.0266019965004,1524.5933963632388,1526.6210756516714,1521.7647433156994,1515.3178306382863,1504.9143298693284,1498.4392937659827,1497.1100654845538,1505.0914370316111,1516.3800380761718,1528.7040315272602,1539.8426923164834,1549.5900304195638,1558.0580619596212,1561.720000357687,1558.879643410903,1548.6779496843676,1537.818725983897,1532.201185243494,1533.4365554929,1542.2124314261057,1552.3549039155855,1567.3689320591031,1580.3371571049447,1591.837482651504,1599.1311690206294,1601.9768558660357,1602.0686189485905,1597.297218183185,1590.1498317183125,1582.955250677153,1578.6886779459508,1587.9642839036476,1599.885205755838,1613.9249043418292,1614.4441409769074,1612.8299935544337,1609.434631374573,1608.3239629131233,1602.2994346166427,1588.2092826806693,1568.6873393294547,1553.8061135158812,1545.3763545168806,1544.2370670564458,1551.2401375609288,1569.0623946525247,1596.2740668384877,1624.001609116466,1647.9379269610747,1666.4642073515427,1679.338063524955,1686.4821237913818,1687.2406692220231,1688.1825302341263,1694.4064694217493,1708.354231798512,1725.4486756986576,1745.5145276603516,1767.7886679754604,1791.9380461269523,1811.620149657287,1828.5766110683435,1835.7919149866796,1838.3581398181857,1836.3934416086372,1831.5518779609704,1831.8572846606096,1837.3999277064008,1849.7247099278907,1865.4376200569961,1882.4876070794483,1905.282000842594,1924.6362033302912,1937.1785299475603,1944.3235975087027,1942.0640131189052,1934.8713906373198,1927.161658400192,1929.9682076004428,1940.718458937811
394514,4,"Dallas, TX",msa,TX,1114.5125968669208,1119.8531384386508,1127.7785765033946,1138.7076085373928,1148.85973112299,1157.411966738849,1164.7612845221365,1167.8479284201462,1168.8522968439288,1168.6325734817801,1170.653085551577,1173.6020304441838,1175.590139917045,1180.803191517187,1189.7366726143491,1200.5171835390965,1208.9720672934627,1215.1362523411592,1219.2141557135321,1221.3689955799566,1220.359460483086,1218.8611950246227,1219.159007217543,1219.8646419332786,1228.286370720603,1235.419298081706,1248.683040318293,1256.574481260003,1268.9414076529065,1275.0859143553541,1280.3304282027746,1281.6463180978694,1281.1682275435107,1279.600905263416,1280.9348136531364,1281.820090938555,1286.3219610937817,1292.8297729662727,1300.7396192241683,1308.3435015032185,1313.0685610236976,1321.1196168815873,1324.860921762808,1327.085251060965,1324.567050930713,1326.8690263176522,1326.9380765279152,1328.9688755368788,1331.2435137246391,1336.7294794763204,1347.9194990550386,1357.4465108296245,1365.9000484473768,1372.5194123092801,1376.2046660596093,1379.376109058137,1378.9974776130625,1379.0117672947804,1376.0920981860384,1372.9608580445235,1374.3039777775605,1381.0784584861754,1389.2458436902866,1390.5545787723886,1389.0871949074747,1389.9778601344367,1394.1622145072042,1399.2621156228388,1402.4697858625111,1407.265751749447,1411.041712865976,1415.0080599991047,1416.5057798772518,1421.7240805088518,1431.5836706230887,1452.9665119564147,1482.000136463382,1516.555645587045,1551.4485106309583,1582.9607397045104,1607.4248903214348,1622.9344987401676,1635.6677743911578,1645.8643209993622,1657.917001674666,1670.2873466155916,1683.8618025361736,1704.6614245512126,1729.111949231692,1759.1778546929563,1780.3756927392774,1788.2287643534287,1784.1768934826814,1772.4854925903019,1761.8880172264985,1752.1718681487787,1750.3820269151056,1753.9905068858293,1763.4033315187055,1769.217574266497,1777.6828551715619,1785.5358292172673,1794.21162912718,1795.8082966414597,1792.1939489726035,1784.8469229181858,1778.5317589125502,1769.5484282054795,1764.8135994839577
394692,5,"Houston, TX",msa,TX,1226.3543801374676,1230.6554686693323,1237.4100003146239,1249.374304006588,1259.1533702271288,1268.363936069481,1270.508150246025,1270.9402153348697,1266.1751271170965,1261.877452088633,1258.3131457256118,1257.09009698915,1258.011728402018,1259.449897926926,1264.8551188114905,1269.7184851839488,1273.5603047157622,1273.427854622126,1271.1572760550541,1266.4696686003024,1259.0227511505293,1248.366506907044,1238.1941168249652,1232.4591926841647,1241.6046550247395,1255.2173391584806,1269.6907714544259,1273.7233066195067,1281.7031779307551,1283.4969419191664,1284.412430206847,1279.5556861540258,1286.7552201911667,1294.982243988718,1305.6595731439677,1311.9769672753105,1314.6261003350528,1320.3917198707406,1321.016541698846,1328.4794167849757,1330.4759872903467,1336.363753866935,1336.2436178396676,1335.467257714845,1331.2079363615674,1330.0367702082908,1331.8031674140432,1332.1188008036577,1334.4484531098615,1334.0544211805618,1340.3780375868016,1345.1318409588152,1353.7318519440219,1360.0280942696943,1363.4834942372129,1362.69524257763,1359.532778934986,1359.0801808206545,1359.4293261192704,1363.1604571182377,1366.0182739133363,1372.5399298636435,1377.6287784599142,1374.50397979872,1367.4143519756237,1361.6513952958446,1365.926525787333,1370.9552043252686,1372.4880329648718,1375.1686003693706,1378.599353635831,1380.117250879213,1379.708534159993,1375.6835544478615,1381.7153688530818,1394.1589313840507,1418.006311399496,1445.8764255951862,1472.5042299126872,1495.4901423682134,1508.834159038721,1516.9138068652746,1521.8081811760565,1526.89888616641,1533.9873564745046,1543.2846293000691,1553.1147909570204,1565.8003632842344,1578.4206548962616,1594.1405241421426,1605.3682532912426,1612.2277165781504,1608.869165908804,1604.8320095673841,1600.2125740612207,1598.8324621933216,1603.496099998115,1610.8045577128782,1621.3635235315655,1627.7404964973034,1637.7489022837922,1647.0163775686367,1654.5592345092211,1655.9523570561478,1653.7359553903377,1648.4033951664082,1642.9763066808985,1641.3416226246309,1643.6489852239501
395209,6,"Washington, DC",msa,VA,1711.963063797817,1718.5161083741114,1730.1957631040102,1738.1519075789688,1747.959889043137,1754.7900281285995,1758.435952520207,1755.6715537165971,1754.7049006841469,1751.047522527818,1750.410418537374,1746.0882631627883,1748.247553446225,1752.5459175933324,1759.6926148004936,1768.3145594135117,1778.3116499761431,1786.8320151307719,1790.4045109641122,1790.0157419781174,1786.6656667579848,1777.1087638018646,1770.5811029149843,1763.9312904140081,1771.506672567147,1783.9564040091695,1800.0745244380935,1811.6200409379962,1817.5964493315228,1824.6359570037641,1827.4956879727438,1826.932405236471,1824.6085425211718,1819.2574731545888,1814.1550202568535,1810.5762022864403,1815.2263068802106,1821.4258948211282,1833.6692211241161,1844.720850011288,1856.078819903715,1864.188999678234,1869.2858373457382,1872.6431267577216,1868.272548110245,1864.6676756381507,1865.631833969929,1869.8548364556639,1875.193170908409,1881.490947292573,1890.7895420129912,1901.4250114051645,1911.761241978989,1921.2692193632822,1926.9449331824503,1929.1829213455724,1928.812923427244,1923.24590864823,1917.0403930396824,1917.582488793942,1926.8264734762179,1935.8699454841858,1945.4402300998715,1943.5149065122882,1940.826580838844,1934.0311985152018,1932.2102082917331,1928.562406268375,1917.8435915304478,1903.2464830263573,1885.652847657175,1870.649227192788,1866.4420090937115,1870.7908990934066,1881.606729132216,1899.9715095341949,1928.4516244693355,1966.6278593746772,2003.5762705436282,2034.5533299661556,2054.2954915053656,2064.145090532757,2064.884019639497,2065.7190930732013,2068.1089312603876,2079.7879865300165,2097.6118392582375,2122.5230506925272,2148.836048594286,2174.462463396542,2198.1862769437284,2208.764200091156,2209.3970050618605,2194.5593940131275,2177.9599139028687,2164.478738811799,2163.086313263888,2173.167408388687,2189.0188934730595,2207.2945295649274,2227.24207558132,2246.1641867141684,2262.292550662124,2273.2346815678147,2278.1109659612894,2276.753397571068,2271.757299008317,2265.019468730879,2268.5474444560173
394974,7,"Philadelphia, PA",msa,PA,1246.681064175379,1253.1249581879636,1265.4389660076909,1272.6917672897553,1279.370941133556,1281.3725135346074,1283.3670223937152,1283.9833729357088,1283.7093204314488,1282.836246606922,1278.5609391221747,1273.7753683605326,1274.1889248543655,1283.6007173941953,1295.293562537246,1306.6308171424787,1313.7674917149939,1320.0619133008527,1320.8611706810993,1320.3097079553477,1316.7499617128224,1311.0701098134653,1313.3031356724543,1312.71613593359,1320.0574850374505,1323.0848849383574,1335.2803967813768,1342.5306475726172,1348.4697411672616,1349.0025513821297,1350.048990409672,1350.9051754328368,1351.2195404222305,1350.109269976337,1348.6597178527388,1350.9845996783943,1354.5181171209567,1362.5223874483406,1372.6558264413347,1382.3150531298638,1390.4995755536793,1394.4667866512973,1395.6998744268192,1394.5514100695893,1393.2572968364482,1394.9189828024275,1397.883839063103,1397.3044902545514,1401.4063924450074,1408.6396349221347,1422.3919747831508,1432.5448524066512,1439.1468626348326,1446.1731446861156,1449.8796199119868,1450.421707496291,1447.24486410742,1447.0625926699377,1448.222626262821,1451.9411785225584,1454.6451852186788,1464.1667623571818,1473.3648595029279,1476.930159732043,1476.1717122946807,1476.8480682169968,1481.8362847590463,1481.4073550846385,1481.013010668106,1483.359208797175,1488.0607543353497,1490.4288353658897,1489.8833178217176,1494.160061600224,1502.8028649728358,1520.5580184605615,1540.91380748072,1561.9692999535641,1580.3729072709557,1598.6068889479732,1612.9979305742584,1624.0970314020433,1632.3067107586437,1644.318920838904,1655.0352746574395,1666.5361285976626,1675.4337326926748,1688.5873984276932,1702.4115408616626,1717.4358809243772,1730.4438825325246,1737.5964282794137,1742.2312548770533,1738.0409289894314,1736.7629379729428,1732.7968831205037,1735.856548812061,1737.0834089727548,1743.8883482432311,1751.5863080869854,1762.5239881591544,1768.2275625875982,1776.6739561717134,1785.2580737199219,1797.7369728642302,1804.6221001820186,1805.8840395004397,1800.956349997461,1801.1301252639644
394856,8,"Miami, FL",msa,FL,1501.5449433974252,1508.4322303154365,1514.0222430255712,1520.7303145922242,1530.3333767038241,1539.9462367465333,1549.1833480627145,1556.2643060505636,1567.3451070397407,1575.7677554441036,1584.4432954889974,1587.3245296043879,1591.5900165382584,1592.7680976815943,1595.3019005464555,1597.2085466993292,1599.0782646878804,1599.9493610005973,1600.595754074723,1603.357292489647,1608.6279127097062,1610.9432401651222,1613.9567907219925,1611.5453252441862,1616.0571673593697,1618.3977922064516,1626.1429594353065,1627.4700221781407,1630.4686107021041,1634.382798679582,1641.7854617813605,1648.6280911653632,1654.678361204742,1660.272357733302,1662.560960347185,1663.680076801483,1664.7545367242014,1668.0383194718513,1672.6495421194318,1677.0492286092372,1681.0270022980549,1686.4191315161816,1692.9925578801751,1699.9698456582291,1705.3331152880517,1711.379095303769,1717.8048516172355,1723.3315689794033,1723.5816403101867,1723.846853466183,1724.0766152159854,1727.8944730114363,1730.893150366372,1735.9596920447148,1740.9335933525554,1746.9784683497119,1752.9973167656199,1762.367655823531,1772.0142144145393,1779.9103609783133,1782.5399744888234,1785.6366778788936,1785.6389477067958,1779.0180109287053,1769.410310619879,1768.116404585655,1773.3106269335462,1779.4891645360083,1784.9030011979955,1799.4269907551839,1818.9181978374252,1835.7399194820196,1852.0631470756757,1874.347704947639,1901.4385781808705,1933.0739228548896,1975.2485367354084,,,2169.013343997326,2228.009362977367,2276.8729574801287,2324.3556799476955,2373.510643521873,2419.209351198112,2454.5201625384993,2497.292872946933,2536.037039844616,2576.120181037804,2598.2870195582454,2618.932946935274,2626.4056448886286,2634.001294432882,2639.183866900527,2648.251023043175,2653.0645514782177,2651.568890801311,2653.5183112848686,2659.682978528605,2670.8230238894826,2681.227840958195,2690.8079930604117,2697.594772078246,2702.6763401071103,2706.8375376673607,2717.056530203311,2722.0767697161623,2717.7165622560638,2715.187545623669
394347,9,"Atlanta, GA",msa,GA,1057.0083769472324,1062.7830243807284,1066.3726331424073,1077.2825657336764,1085.047356045216,1096.3464967087466,1103.460554173805,1107.56493142676,1109.0533732632991,1107.8992890794495,1108.4784676664294,1111.6103081226568,1116.5237443039982,1124.0036293026849,1132.137673776103,1141.1841194597255,1150.3291628790817,1158.3459366435295,1165.8257210267527,1169.913097381339,1171.2567592488854,1170.135609764581,1169.872925670893,1171.5884381468916,1176.742065883627,1186.4118797395804,1198.4602593599195,1210.6585366907946,1222.1667530471616,1232.5356865763943,1241.5918408573175,1245.7628796569986,1247.566913256516,1245.408310462539,1246.3361938415894,1248.1821821884691,1255.4319925623618,1263.6463182366604,1274.9790144493836,1287.0510724786325,1299.4636489333263,1308.8252562808489,1314.269391196803,1316.8029824830548,1317.8163649247679,1323.3996397791443,1328.4984910251071,1333.1627433006324,1338.5045108180016,1346.87662572214,1359.9322536790123,1371.5353065927115,1381.7072277984216,1390.2247669458895,1395.2601544128481,1399.5449751759907,1403.0967460515742,1403.0530665702422,1401.1337492764221,1400.6327638260782,1404.8465370331764,1413.9223138926902,1421.9420388404023,1425.6795504809377,1428.799709199354,1435.5816986725258,1450.162343925434,1463.8629346499727,1474.9130837341186,1483.1386270668356,1490.4217996856257,1497.5736882271406,1508.3975268542308,1524.4119243803466,1543.8369926855642,1568.8113845568562,1599.9682057826537,1641.7833699409287,1685.0164191383892,1729.397979825174,1759.055170099108,1780.4511121714042,1787.8308916366343,1793.1943378743597,1797.9503814556695,1806.1136738029834,1820.4267247865773,1835.607343878405,1856.6809915756166,1879.18705421496,1903.2985083302212,1915.520773464058,1919.1657677638568,1911.2759756590585,1901.2331935648144,1895.6018142690411,1893.9149428764815,1900.570437308405,1908.6876199380022,1920.5011730263702,1927.0766876894588,1928.357854446989,1929.6763338095734,1930.3737762068074,1930.8405937381751,1921.8433338005748,1908.7301374354913,1897.7848702197257,1899.6613329970269
