RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
394579,165,"Evansville, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,19.0,36.0,41.0,50.0,43.0,40.0,36.0,17.0,30.0,37.0,38.0,36.0,37.0,36.0,35.0,36.0,33.0,34.0,36.0,35.0,33.0,32.0,32.0,32.0,34.0,34.0,31.0,31.0,31.0,31.0,31.0,33.0,30.0,31.0,30.0,31.0,32.0,30.0,31.0,30.0,30.0,29.0,32.0
394747,167,"Kingsport, TN",msa,TN,43.0,36.0,36.0,38.0,41.0,40.0,40.0,37.0,37.0,38.0,35.0,35.0,40.0,39.0,34.0,37.0,38.0,38.0,40.0,36.0,40.0,39.0,37.0,43.0,40.0,37.0,36.0,40.0,41.0,42.0,43.0,42.0,42.0,43.0,43.0,43.0,45.0,40.0,41.0,42.0,40.0,42.0,43.0,41.0,42.0,43.0,42.0,40.0,46.0,42.0,39.0,38.0,37.0,39.0,37.0,38.0,37.0,38.0,36.0,35.0,38.0,36.0,35.0,38.0,35.0,38.0,39.0,37.0,36.0,36.0,35.0,34.0
394741,168,"Kennewick, WA",msa,WA,40.0,25.0,35.0,36.0,38.0,39.0,40.0,39.0,38.0,38.0,38.0,37.0,38.0,36.0,35.0,37.0,37.0,38.0,38.0,38.0,40.0,39.0,40.0,39.0,38.0,39.0,36.0,39.0,39.0,41.0,39.0,41.0,41.0,41.0,40.0,39.0,41.0,40.0,39.0,39.0,39.0,40.0,37.0,37.0,37.0,36.0,36.0,36.0,42.0,37.0,35.0,34.0,33.0,33.0,33.0,34.0,33.0,34.0,33.0,33.0,35.0,32.0,33.0,32.0,34.0,34.0,37.0,34.0,34.0,33.0,35.0,35.0
395179,169,"Utica, NY",msa,NY,,,,49.0,44.0,45.0,42.0,44.0,34.0,28.0,33.0,45.0,51.0,46.0,46.0,45.0,47.0,54.0,59.0,65.0,65.0,66.0,65.0,64.0,65.0,64.0,64.0,59.0,60.0,58.0,55.0,61.0,69.0,69.0,76.0,74.0,73.0,73.0,67.0,64.0,67.0,68.0,70.0,73.0,73.0,71.0,72.0,73.0,79.0,78.0,69.0,67.0,64.0,70.0,67.0,67.0,63.0,68.0,62.0,64.0,67.0,62.0,61.0,62.0,63.0,63.0,68.0,68.0,67.0,67.0,63.0,63.0
394660,170,"Hagerstown, MD",msa,MD,47.0,31.0,27.0,28.0,28.0,34.0,40.0,41.0,39.0,38.0,39.0,38.0,40.0,41.0,36.0,39.0,39.0,41.0,38.0,38.0,42.0,39.0,40.0,41.0,45.0,37.0,38.0,41.0,45.0,43.0,43.0,43.0,43.0,35.0,42.0,43.0,47.0,42.0,41.0,39.0,40.0,39.0,39.0,39.0,40.0,40.0,39.0,38.0,42.0,40.0,35.0,34.0,33.0,36.0,35.0,34.0,37.0,36.0,34.0,35.0,36.0,35.0,35.0,35.0,34.0,32.0,34.0,34.0,34.0,33.0,34.0,33.0
394543,171,"Duluth, MN",msa,MN,39.0,42.0,38.0,36.0,41.0,41.0,38.0,38.0,38.0,37.0,36.0,37.0,40.0,41.0,40.0,40.0,40.0,40.0,40.0,38.0,37.0,40.0,37.0,38.0,43.0,40.0,39.0,46.0,40.0,42.0,41.0,42.0,41.0,41.0,42.0,42.0,42.0,40.0,39.0,41.0,42.0,43.0,40.0,41.0,37.0,39.0,40.0,38.0,43.0,38.0,37.0,37.0,37.0,40.0,38.0,38.0,38.0,37.0,36.0,34.0,37.0,34.0,34.0,36.0,36.0,36.0,37.0,36.0,35.0,36.0,33.0,33.0
394937,172,"Olympia, WA",msa,WA,39.0,36.0,37.0,34.0,35.0,35.0,35.0,35.0,36.0,35.0,35.0,35.0,35.0,35.0,35.0,33.0,33.0,34.0,36.0,35.0,37.0,37.0,35.0,37.0,39.0,35.0,33.0,36.0,37.0,37.0,38.0,35.0,37.0,36.0,36.0,35.0,35.0,35.0,32.0,32.0,31.0,32.0,33.0,31.0,32.0,32.0,33.0,33.0,34.0,29.0,29.0,26.0,30.0,30.0,31.0,31.0,31.0,30.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,34.0,31.0
394803,173,"Longview, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,21.0,29.0,32.0,29.0,33.0,29.0,32.0,30.0,30.0,29.0,27.0,27.0,29.0,30.0,26.0,26.0,26.0,28.0,31.0,26.0,33.0,26.0,27.0,25.0,28.0,27.0,28.0,29.0,28.0,26.0,23.0,23.0
395229,174,"Wilmington, NC",msa,NC,41.0,39.0,36.0,37.0,39.0,38.0,38.0,37.0,43.0,46.0,37.0,37.0,39.0,35.0,35.0,36.0,38.0,39.0,36.0,36.0,40.0,36.0,37.0,36.0,41.0,35.0,36.0,40.0,39.0,38.0,39.0,40.0,41.0,40.0,40.0,40.0,43.0,40.0,39.0,38.0,39.0,39.0,39.0,38.0,37.0,38.0,38.0,36.0,39.0,35.0,34.0,35.0,34.0,35.0,35.0,34.0,35.0,34.0,37.0,34.0,37.0,35.0,33.0,34.0,35.0,36.0,35.0,33.0,35.0,34.0,35.0,32.0
395061,175,"San Luis Obispo, CA",msa,CA,41.0,36.0,37.0,37.0,37.0,38.0,39.0,36.0,36.0,38.0,38.0,39.0,40.0,35.0,36.0,37.0,38.0,40.0,38.0,38.0,39.0,40.0,38.0,39.0,40.0,36.0,38.0,42.0,43.0,38.0,38.0,38.0,39.0,42.0,40.0,42.0,44.0,37.0,37.0,38.0,36.0,38.0,37.0,34.0,34.0,35.0,35.0,36.0,41.0,33.0,30.0,31.0,31.0,33.0,33.0,30.0,32.0,32.0,32.0,34.0,35.0,29.0,31.0,32.0,33.0,34.0,31.0,33.0,31.0,30.0,33.0,33.0
